State,Under 5 Years,5 to 13 Years,14 to 17 Years,18 to 24 Years,25 to 44 Years,45 to 64 Years,65 Years and Over
AL,310504,552339,259034,450818,1231581,1215966,641667
AK,52083,85640,42153,74256,198724,183166,50277
AZ,515910,828669,362729,3292789,273737,1523681,862573
AR,202070,343207,157204,264100,754420,727124,407205
